"club_name","player_name","age","position","club_involved_name","fee","transfer_movement","transfer_period","fee_cleaned","league_name","year","season","country"
"Al-Hilal SFC","Khaled Aziz",18,"Defensive Midfield","Unknown","?","in","Summer",NA,"Saudi Professional League",2000,"2000/2001","Saudi Arabia"
"Al-Hilal SFC","Sami Al-Jaber",27,"Centre-Forward","Wolves","loan transfer","out","Summer",NA,"Saudi Professional League",2000,"2000/2001","Saudi Arabia"
"Al-Hilal SFC","Fahad Al-Ghesheyan",26,"Right Winger","Al-Nassr","-","out","Summer",NA,"Saudi Professional League",2000,"2000/2001","Saudi Arabia"
"Al-Hilal SFC","Saleh Al-Salloumi",37,"Goalkeeper","Retired","-","out","Summer",NA,"Saudi Professional League",2000,"2000/2001","Saudi Arabia"
"Al-Hilal SFC","Elijah Litana",29,"Centre-Back","Retired","-","out","Summer",NA,"Saudi Professional League",2000,"2000/2001","Saudi Arabia"
"Ittihad Club","Marzouq Al-Otaibi",24,"Centre-Forward","Al-Shabab","€2.00m","in","Summer",2,"Saudi Professional League",2000,"2000/2001","Saudi Arabia"
"Ittihad Club","Khalid Massad",28,"Attacking Midfield","Al-Ahli","free transfer","in","Summer",0,"Saudi Professional League",2000,"2000/2001","Saudi Arabia"
"Ittihad Club","Ivan Malimon",21,"Centre-Forward","Edessaikos","free transfer","in","Summer",0,"Saudi Professional League",2000,"2000/2001","Saudi Arabia"
"Ittihad Club","Manaf Abushgeer",20,"Left Midfield","Ittihad C. U23","-","in","Summer",NA,"Saudi Professional League",2000,"2000/2001","Saudi Arabia"
"Ittihad Club","Darci",31,"Left Winger","Antalyaspor","?","out","Summer",NA,"Saudi Professional League",2000,"2000/2001","Saudi Arabia"
"Ittihad Club","Macros Pereira",26,"Attack","Seongnam Ilhwa","?","out","Summer",NA,"Saudi Professional League",2000,"2000/2001","Saudi Arabia"
"Ittihad Club","Roberto Donadoni",36,"Right Midfield","Retired","-","out","Summer",NA,"Saudi Professional League",2000,"2000/2001","Saudi Arabia"
